iter	Passed	Remaining
705	8944	3724
706	8955	3711
707	8966	3697
708	8977	3684
709	8987	3670
710	8998	3657
711	9009	3644
712	9019	3630
713	9031	3617
714	9044	3605
715	9057	3592
716	9069	3579
717	9080	3566
718	9092	3553
719	9101	3539
720	9113	3526
721	9125	3513
722	9138	3501
723	9148	3487
724	9159	3474
725	9169	3460
726	9179	3447
727	9190	3433
728	9200	3420
729	9211	3406
730	9223	3394
731	9233	3380
732	9245	3367
733	9256	3354
734	9266	3340
735	9276	3327
736	9288	3314
737	9299	3301
738	9309	3287
739	9321	3274
740	9330	3261
741	9343	3248
742	9355	3235
743	9364	3222
744	9376	3209
745	9387	3196
746	9397	3182
747	9407	3169
748	9419	3156
749	9429	3143
750	9441	3130
751	9453	3117
752	9466	3105
753	9476	3091
754	9487	3078
755	9498	3065
756	9507	3052
757	9518	3039
758	9529	3025
759	9540	3012
760	9551	2999
761	9564	2987
762	9573	2973
763	9584	2960
764	9594	2947
765	9605	2934
766	9616	2921
767	9626	2907
768	9637	2895
769	9649	2882
770	9660	2869
771	9671	2856
772	9683	2843
773	9693	2830
774	9703	2817
775	9714	2804
776	9724	2790
777	9736	2778
778	9747	2765
779	9757	2752
780	9770	2739
781	9781	2726
782	9790	2713
783	9801	2700
784	9812	2687
785	9821	2674
786	9833	2661
787	9845	2648
788	9857	2636
789	9870	2623
790	9882	2611
791	9892	2598
792	9903	2585
793	9914	2572
794	9924	2559
795	9934	2546
796	9945	2533
797	9954	2519
798	9966	2507
799	9978	2494
800	9990	2482
801	10001	2469
802	10022	2458
803	10037	2446
804	10049	2434
805	10065	2422
806	10087	2412
807	10109	2402
808	10124	2390
809	10137	2377
810	10149	2365
811	10164	2353
812	10179	2341
813	10190	2328
814	10200	2315
815	10211	2302
816	10223	2289
817	10232	2276
818	10244	2264
819	10255	2251
820	10267	2238
821	10279	2225
822	10290	2213
823	10305	2201
824	10315	2188
825	10326	2175
826	10337	2162
827	10346	2149
828	10357	2136
829	10370	2123
830	10379	2110
831	10392	2098
832	10403	2085
833	10412	2072
834	10423	2059
835	10434	2047
836	10444	2034
837	10455	2021
838	10467	2008
839	10477	1995
840	10488	1982
841	10497	1969
842	10509	1957
843	10520	1944
844	10531	1931
845	10541	1918
846	10552	1906
847	10562	1893
848	10573	1880
